"","Stem","adverb","Valence","Arousal","Dominance"
"570","amazing","amazingly",0.906,0.837,0.849
"714","annoying","annoyingly",0.082,0.853,0.348
"1254","awful","awfully",0.061,0.786,0.45
"1539","beautiful","beautifully",0.875,0.614,0.648
"4469","decent","decently",0.823,0.296,0.653
"4599","delicious","deliciously",0.927,0.65,0.589
"4602","delightful","delightfully",0.918,0.735,0.644
"5081","disgusting","disgustingly",0.031,0.796,0.245
"6443","fair","fairly",0.812,0.557,0.643
"7667","gorgeous","gorgeously",0.92,0.56,0.741
"8537","horrible","horribly",0.071,0.857,0.398
"10612","magnificent","magnificently",1,0.68,0.886
"11771","nice","nicely",0.93,0.442,0.65
"12855","perfect","perfectly",0.98,0.471,0.87
"13212","pleasant","pleasantly",0.939,0.31,0.673
"15443","scary","scarily",0.062,0.952,0.528
"16603","spectacular","spectacularly",0.947,0.74,0.887
"17041","strange","strangely",0.314,0.663,0.395
"17140","stunning","stunningly",0.888,0.673,0.858
"17817","terrible","terribly",0.061,0.849,0.604
"17820","terrific","terrifically",0.859,0.65,0.821
"18882","unpleasant","unpleasantly",0.122,0.612,0.185
"19586","weird","weirdly",0.26,0.66,0.402
"19794","wonderful","wonderfully",0.971,0.776,0.83
